INTEGER;CATEGORICAL;STRING;DOUBLE
#;Estado;Nome Município;Valor
134;AMAPÁ;TARTARUGALZINHO;1666231
135;AMAPÁ;AMAPARI;974060
136;AMAPÁ;SERRA DO NAVIO;430894
137;AMAPÁ;CUTIAS;511819
138;AMAPÁ;ITAUBAL;570141
139;AMAPÁ;PORTO GRANDE;1501214
140;AMAPÁ;PRACUUBA;541794
141;AMAZONAS;NOVO AIRAO;1886682
142;AMAZONAS;ANORI;2316278
143;AMAZONAS;ATALAIA DO NORTE;2002507
144;AMAZONAS;AUTAZES;4955930
145;AMAZONAS;BARCELOS;2792023
146;AMAZONAS;BARREIRINHA;4222530
147;AMAZONAS;BENJAMIN CONSTANT;4666808
148;AMAZONAS;BOCA DO ACRE;5039306
149;AMAZONAS;BORBA;4605829
150;AMAZONAS;CANUTAMA;1781965
151;AMAZONAS;CARAUARI;4450686
152;AMAZONAS;CAREIRO;4661736
153;AMAZONAS;COARI;9950998
154;AMAZONAS;CODAJAS;2885524
155;AMAZONAS;EIRUNEPE;5589442
156;AMAZONAS;ENVIRA;2874424
157;AMAZONAS;FONTE BOA;3816127
158;AMAZONAS;HUMAITA;5866595
159;AMAZONAS;SANTA ISABEL DO RIO NEGRO;2278597
160;AMAZONAS;IPIXUNA;2770652
161;AMAZONAS;ITACOATIARA;11714672
162;AMAZONAS;ITAPIRANGA;1346255
163;AMAZONAS;JAPURA;821023
164;AMAZONAS;JURUA;1453747
165;AMAZONAS;JUTAI;3089076
166;AMAZONAS;LABREA;6516131
167;AMAZONAS;MANACAPURU;11660804
168;AMAZONAS;MANAUS;124024239
169;AMAZONAS;MANICORE;5924429
170;AMAZONAS;MARAA;2526287
171;AMAZONAS;MAUES;7687595
172;AMAZONAS;NHAMUNDA;2769204
173;AMAZONAS;NOVA OLINDA DO NORTE;3862878
174;AMAZONAS;NOVO ARIPUANA;2931201
175;AMAZONAS;PARINTINS;15110714
176;AMAZONAS;PAUINI;3200900
177;AMAZONAS;SANTO ANTONIO DO ICA;4096487
178;AMAZONAS;SAO PAULO DE OLIVENCA;4162303
179;AMAZONAS;SILVES;1333898
180;AMAZONAS;TAPAUA;3519164
181;AMAZONAS;TEFE;10299384
182;AMAZONAS;SAO GABRIEL DA CACHOEIRA;5997081
183;AMAZONAS;URUCARA;2700846
184;AMAZONAS;URUCURITUBA;2377863
185;AMAZONAS;ALVARAES;2275231
186;AMAZONAS;AMATURA;1477038
187;AMAZONAS;ANAMA;1369738
188;AMAZONAS;BERURI;2658042
189;AMAZONAS;BOA VISTA DO RAMOS;2202752
190;AMAZONAS;CAAPIRANGA;1288567
191;AMAZONAS;CAREIRO DA VARZEA;3050759
192;AMAZONAS;GUAJARA;2630904
193;AMAZONAS;APUI;2276601
194;AMAZONAS;IRANDUBA;6134820
195;AMAZONAS;ITAMARATI;1610576
196;AMAZONAS;MANAQUIRI;2975537
197;AMAZONAS;PRESIDENTE FIGUEIREDO;2636408
198;AMAZONAS;RIO PRETO DA EVA;2681554
199;AMAZONAS;SAO SEBASTIAO DO UATUMA;1444781
200;AMAZONAS;TABATINGA;6810023
201;AMAZONAS;UARINI;1689988
202;AMAZONAS;TONANTINS;2154001
203;BAHIA;BARROCAS;2289845
204;BAHIA;LUIS EDUARDO MAGALHAES;4299958
205;BAHIA;MUQUEM DO SAO FRANCISCO;2043153
206;BAHIA;NOVA FATIMA;1254186
207;BAHIA;NOVA IBIA;1063011
208;BAHIA;NOVA REDENCAO;1262582
209;BAHIA;NOVO HORIZONTE;1772948
210;BAHIA;NOVO TRIUNFO;2092988
211;BAHIA;OUROLANDIA;3239180
212;BAHIA;PIRAI DO NORTE;1616021
213;BAHIA;PONTO NOVO;2881868
214;BAHIA;PRESIDENTE TANCREDO NEVES;4209718
215;BAHIA;QUIXABEIRA;1754362
216;BAHIA;RIBEIRAO DO LARGO;2226923
217;BAHIA;SAO DOMINGOS;1346959
218;BAHIA;SAO FELIX DO CORIBE;2310948
219;BAHIA;SAO JOSE DO JACUIPE;1985773
220;BAHIA;SAO JOSE DA VITORIA;1216921
221;BAHIA;SAUBARA;1749306
222;BAHIA;SERRA DO RAMALHO;5079383
223;BAHIA;SITIO DO MATO;2391723
224;BAHIA;SITIO DO QUINTO;2531459
